ID,Vendor name,Address line 1,Address used for distance calculation (Google Maps),City,Country,State,Zip code,Distance to Nada (1 Way) (km),Distance to Nada 2 ways (km)
28,Brush Naked,2784 Bath Street,"2784 Bath St, Kelowna, BC V1Y 1M5, Canada",Kelowna,CAN,BC,V1Y 1M5,388,776
29,Artisan Bake Shoppe,,"1472 Crown St, North Vancouver, BC V7J 1G5, Canada",,CAN,BC,,10.7,21.4
30,BobAli Foods,301/1855 E Georgia St,"1855 E Georgia St, Vancouver, BC V5L 2B5, Canada",Vancouver,CAN,BC,V5L 2B5,3.8,7.6
31,Earnest Ice Cream,1485 Frances St.,"1485 Frances St, Vancouver, BC V5L 1Z1, Canada",Vancouver,CAN,BC,V5L 1Z1,3.2,6.4
32,Fairware,,"178 W 3rd Ave, Vancouver, BC V5Y 1E9, Canada",,CAN,BC,,2,4
33,The Farm House Natural Cheeses,5634 McCallum Rd.,,Agassiz,CAN,BC,V0M 1A3,,0
34,Foothills Creamery Ltd.,2825 Bonnybrook Rd SE.,"2825 Bonnybrook Rd SE, Calgary, AB T2G 4N1, Canada",Calgary,CAN,AB,T2G 4N1,973,1946
35,Fortify Natural Wellness,,,,CAN,BC,,,0
36,Giddy Yo,9-75 First St.,"9 First St, Orangeville, ON L9W 1E1, Canada",Orangeville,CAN,ON,L9W 5B6,4189,8378
37,GLOW Chocolates,507 - 4425 Halifax St.,"4425 Halifax St, Burnaby, BC V5C 6P2, Canada",Burnaby,CAN,BC,V5C 6P2,6.9,13.8
38,gogoBags,PO. BOX 63516 89-935 Marine Dr.,,North Vancouver,CAN,BC,V7P 1S3,,0
39,Home Grown Living Foods,PO Box 737,"Evergreen Place, 20 S Shore Rd, Lake Cowichan, BC V0R 2G0, Canada",Lake Cowichan,CAN,BC,V0R 2G0,121,242
40,Hoochy ‘Booch Kombucha,400 Industrial Ave.,"400 Industrial Ave, Vancouver, BC V6A 2P3, Canada",Vancouver,CAN,BC,V6A 2P3,2,4
41,Jiva Organics,7442 Fraser Park Drive,"7442 Fraser Park Dr, Burnaby, BC V5J 5B9, Canada",Burnaby,CAN,BC,V5J 5B9,12.9,25.8
42,KAPOW NOW!,#338-2055 Commercial Dr.,"KAPOW NOW!, 375 Lynn Ave #108, North Vancouver, BC V7J 2C5, Canada",Vancouver,CAN,BC,V5N 0C7,11.2,22.4
43,Klippers Organics,2200 Ferko Rd,"2200 Ferko Rd, Cawston, BC V0X 1C2, Canada",Cawston,CAN,BC,V0X 1C2,352,704
44,Life Without Plastic,,"835 Commerce Park Dr, Ogdensburg, NY 13669",,CAN,BC,,4726,9452
45,Lita's Mexican Foods,"3788 Norfolk Street, Unit 101","101 Norfolk St, Burnaby, BC V5G 1E4, Canada",Burnaby,CAN,BC,V5G 0B5,7.1,14.2
46,LFT Group Brands Ltd.,344-255 Newport Drive,"255 Newport Dr #344, Port Moody, BC V3H 5H1, Canada",Port Moody,CAN,BC,V3H 5H1,24.1,48.2
47,Living Lotus Food & Nutrition Inc.,#204-2511 Quebec St.,,Vancouver,CAN,BC,V5T 0B6,,0
48,Aisle (Lunapads),3433 Commercial Street,"3433 Commercial St, Vancouver, BC V5N 4E8, Canada",Vancouver,CAN,BC,V5N 4E8,2.6,5.2
49,Naked Coconuts,816 - 207 West Hastings St.,"207 W Hastings St #816, Vancouver, BC V6B 2N4, Canada",Vancouver,CAN,BC,V6B 1H7,3.7,7.4
50,Nature Derived Organics,,"Port Moody, BC",,CAN,BC,,19.3,38.6
51,Nina's Pierogi,,"19705 56 Ave #105, Langley City, BC V3A 3X7, Canada",,CAN,BC,,41.5,83
52,Nora's Non-Dairy Ltd,306 - 2191 West 1st Ave.,"2191 W 1st Ave, Vancouver, BC V6K 1E7, Canada",Vancouver,CAN,BC,V6K 1E7,5.5,11
53,Nuez Beverage Co.,153 W 7th Ave.,"Delta, British Columbia, Canada",Vancouver,CAN,BC,V5Y 1L8,22.6,45.2
